Date,Australian Equities,Developed Market Equities,Emerging Market Equities,Australian Listed Property,Hedge Funds,Australian Fixed Interest,Global Fixed Interest,Cash (Bank bills)
31/05/2010,-0.075400799,-0.075753269,-0.052151761,-0.038354275,-0.027643511,0.016453099,0.01184651,0.003752432
30/06/2010,-0.02646715,-0.041674821,-0.005166921,-0.010739838,-0.008427033,0.013650841,0.012499139,0.003950814
30/07/2010,0.044760682,0.05738122,0.061663338,0.00983361,0.015875289,0.002727474,0.011420378,0.004221351
31/08/2010,-0.010810173,-0.03364085,-0.014135892,0.040099851,0.002349955,0.019206231,0.020825129,0.004059848
30/09/2010,0.047877357,0.069510766,0.077255484,-0.009546448,0.03432269,-0.009024586,0.001977777,0.003714872
29/10/2010,0.018352491,0.028493903,0.023126087,-0.002198653,0.01922118,4.65935E-06,0.002895299,0.004199227
30/11/2010,-0.0096835,-0.003290933,-0.010685942,-0.02259361,-0.001845839,-0.002197916,-0.007450036,0.003887162
31/12/2010,0.037732121,0.056555906,0.044668339,0.014225158,0.029031036,0.000265683,-0.000191325,0.00424178
31/01/2011,0.00105352,0.01938796,-0.021193334,0.024505737,0.006885203,0.009201634,0.000865175,0.004284288
28/02/2011,0.023318664,0.029231092,-0.013986541,0.030436144,0.013826768,0.004241683,0.005312703,0.003709876
31/03/2011,0.006680978,-0.012745104,0.042918874,-0.019165042,0.001230195,0.00682836,0.003355153,0.004187934
29/04/2011,-0.003177607,0.022675809,0.008048911,0.00126988,0.018027751,0.004789398,0.012391652,0.004026488
31/05/2011,-0.02017661,-0.012725939,-0.015926628,0.000528445,-0.009572166,0.012839231,0.013846732,0.004164875
30/06/2011,-0.019755834,-0.015851057,-0.018933212,-0.008277121,-0.013614589,0.005514092,0.002243039,0.004041894
29/07/2011,-0.038308999,-0.027254119,-0.00958302,-0.066016419,0.006879952,0.01673646,0.014943166,0.004182315
31/08/2011,-0.019785111,-0.067656906,-0.073291065,0.032021831,-0.022995071,0.019912789,0.016796395,0.004262227
30/09/2011,-0.06275386,-0.060615617,-0.074202555,-0.045188687,-0.032002425,0.009001716,0.010508791,0.003868318
31/10/2011,0.072314934,0.08548595,0.090589585,0.035762115,0.017290744,-0.005715542,0.003407703,0.004201323
30/11/2011,-0.034387238,-0.012824951,-0.038520114,0.026178846,-0.007871765,0.017331882,-0.001997491,0.003923502
30/12/2011,-0.014389531,0.005868209,-0.000177943,-0.026047662,-0.002171938,0.007793623,0.018972928,0.004032169
31/01/2012,0.051319013,0.043267798,0.074162791,0.056387405,0.023365835,0.001358222,0.013340156,0.003893638
29/02/2012,0.020354931,0.047295408,0.045316638,0.022141756,0.016104178,-0.002120814,0.006828589,0.003324543
30/03/2012,0.012174027,0.017628571,-0.01417439,-0.005850029,0.000491275,0.008615123,0.001973809,0.00390461
30/04/2012,0.013031325,-0.015327934,-0.005706469,0.056084569,-0.000384287,0.015939928,0.009602908,0.003783103
31/05/2012,-0.06737364,-0.067649066,-0.067128985,-0.013003571,-0.013305711,0.030965636,0.014599072,0.003809699
29/06/2012,0.005355345,0.042831414,0.021423335,0.041965528,-0.004004416,-0.001630479,0.001396154,0.002837831
31/07/2012,0.041993368,0.013468909,0.017535367,0.05489914,0.014213066,0.003715713,0.016181935,0.002924897
31/08/2012,0.021368948,0.020029758,-0.001861938,-2.59723E-05,0.00839976,0.006275551,0.005438128,0.002991146
28/09/2012,0.021814109,0.021495779,0.042742839,0.0113567,0.01041224,0.009730072,0.006742719,0.003132102
31/10/2012,0.02918366,-0.004612595,-0.002624313,0.052666046,-0.001787592,0.000181546,0.00575405,0.002965802
30/11/2012,0.003917763,0.014697327,0.016055964,-0.013899901,0.006425787,7.77143E-05,0.007407797,0.002543368
31/12/2012,0.033331052,0.019128279,0.039404513,0.023565213,0.014821017,0.001819154,0.003430316,0.002875154
31/01/2013,0.049797435,0.053730187,0.013809048,0.044836817,0.02066917,-0.002258977,-0.0030674,0.002684354
